trip_distance_km,vehicle_age_years,load_weight_tons,route_type,fuel_cost
256.0,7,10.0,2,2616.95
184.3,12,5.6,1,2033.6
249.4,15,8.6,1,2048.34
323.5,5,2.2,3,3552.36
107.0,12,1.2,1,1716.46
43.4,15,7.0,3,3859.93
189.2,9,7.2,2,2309.14
484.1,10,7.8,2,3317.78
94.9,10,8.7,1,1579.34
422.9,3,1.5,2,2824.15
218.8,7,2.8,3,3961.33
45.6,7,6.5,3,2501.59
431.7,8,3.4,3,4362.36
381.7,13,6.6,1,2329.55
181.7,8,6.1,2,1847.06
61.9,13,8.4,1,1031.98
35.0,14,8.1,3,2367.41
480.9,8,8.2,3,3376.06
369.3,6,6.6,2,2638.44
105.0,15,7.7,2,2374.24
37.4,6,8.2,3,2832.59
430.5,8,2.4,3,4451.85
276.1,15,7.4,2,2402.64
207.9,2,6.2,3,2196.64
426.5,14,6.5,2,3824.94
